Fondsposition per,"17.Sept.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ASML","ASML HOLDING","IT","Aktien","431.725.698,00","4,12","431.725.698,00","304.461,00","1.418,00","Niederlande","Euronext Amsterdam","EUR"
"HSBA","HSBC HOLDINGS PLC","Finanzwesen","Aktien","240.249.864,80","2,29","240.249.864,80","13.442.576,00","17,87","Vereinigtes Königreich","London Stock Exchange","GBP"
"ROP","ROCHE PS PAR AG","Gesundheitsversorgung","Aktien","210.477.349,98","2,01","210.477.349,98","551.343,00","381,75","Schweiz","SIX Swiss Exchange","CHF"
"NOVN","NOVARTIS AG","Gesundheitsversorgung","Aktien","183.299.017,14","1,75","183.299.017,14","1.494.829,00","122,62","Schweiz","SIX Swiss Exchange","CHF"
"SHELL","SHELL PLC","Energie","Aktien","182.315.574,24","1,74","182.315.574,24","4.386.804,00","41,56","Vereinigtes Königreich","Euronext Amsterdam","EUR"
"AZN","ASTRAZENECA PLC","Gesundheitsversorgung","Aktien","175.075.160,79","1,67","175.075.160,79","1.211.796,00","144,48","Vereinigtes Königreich","London Stock Exchange","GBP"
"NESN","NESTLE SA","Nichtzyklische Konsumgüter","Aktien","167.077.999,26","1,59","167.077.999,26","2.018.159,00","82,79","Schweiz","SIX Swiss Exchange","CHF"
"SIE","SIEMENS N AG","Industrie","Aktien","153.557.601,00","1,46","153.557.601,00","575.985,00","266,60","Deutschland","Xetra","EUR"
"SAN","BANCO SANTANDER","Finanzwesen","Aktien","149.274.804,86","1,42","149.274.804,86","11.525.232,00","12,95","Spanien","Bolsa De Madrid","EUR"
"SAP","SAP","IT","Aktien","149.162.960,00","1,42","149.162.960,00","793.420,00","188,00","Deutschland","Xetra","EUR"
"TTE","TOTALENERGIES","Energie","Aktien","141.693.781,26","1,35","141.693.781,26","1.779.402,00","79,63","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ALV","ALLIANZ","Finanzwesen","Aktien","133.988.879,70","1,28","133.988.879,70","297.027,00","451,10","Deutschland","Xetra","EUR"
"SU","SCHNEIDER ELECTRIC","Industrie","Aktien","129.654.934,20","1,24","129.654.934,20","451.602,00","287,10","Frankreich","Nyse Euronext - Euronext Paris","EUR"
