Holdings details

Morningstar Total Stock Market ETF (VTI)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2379504,NVIDIA Corp,NVDA,6.87%,Semiconductors,US,---,"$161,309,929,560.92","730,636,514"
,2046251,Apple Inc,AAPL,6.30%,"Technology Hardware, Storage & Peripherals",US,---,"$147,897,163,830.30","466,773,438"
,2588173,Microsoft Corp,MSFT,5.10%,Systems Software,US,---,"$119,760,732,015.54","236,079,426"
,2000019,Amazon.com Inc,AMZN,3.40%,Broadline Retail,US,---,"$79,926,059,836.77","307,680,101"
,BYVY8G0,Alphabet Inc,GOOGL,2.69%,Interactive Media & Services,US,---,"$63,257,475,392.10","186,407,766"
,BDZ78H9,Broadcom Inc,AVGO,2.37%,Semiconductors,US,---,"$55,725,448,286.66","150,471,049"
,BYY88Y7,Alphabet Inc,GOOG,2.12%,Interactive Media & Services,US,---,"$49,775,978,021.21","148,403,381"
,B7TL820,Meta Platforms Inc,META,1.70%,Interactive Media & Services,US,---,"$39,944,685,743.88","69,791,882"
,2588184,Micron Technology Inc,MU,1.46%,Semiconductors,US,---,"$34,360,660,774.64","35,839,768"
,B616C79,Tesla Inc,TSLA,1.40%,Automobile Manufacturers,US,---,"$32,938,481,830.65","89,518,907"
,2516152,Eli Lilly & Co,LLY,1.33%,Pharmaceuticals,US,---,"$31,158,249,547.89","26,936,493"
,2190385,JPMorgan Chase & Co,JPM,1.29%,Diversified Banks,US,---,"$30,316,916,921.90","85,155,095"
,2073390,Berkshire Hathaway Inc,BRK/B,1.23%,Multi-Sector Holdings,US,---,"$28,828,462,077.75","57,195,925"
,2007849,Advanced Micro Devices Inc,AMD,1.04%,Semiconductors,US,---,"$24,393,188,180.80","51,821,015"
,BVSRPD7,ExxonMobil Holdings Corp,XOM,0.90%,Integrated Oil & Gas,US,---,"$21,201,446,325.45","131,726,911"
,2475833,Johnson & Johnson,JNJ,0.87%,Pharmaceuticals,US,---,"$20,338,819,689.50","76,504,870"
,B2PZN04,Visa Inc,V,0.85%,Transaction & Payment Processing Services,US,---,"$20,009,313,734.84","52,743,532"
,B121557,Mastercard Inc,MA,0.63%,Transaction & Payment Processing Services,US,---,"$14,781,998,047.39","25,083,569"
,2936921,Walmart Inc,WMT,0.62%,Consumer Staples Merchandise Retail,US,---,"$14,611,198,055.29","139,326,767"
,B92SR70,AbbVie Inc,ABBV,0.61%,Biotechnology,US,---,"$14,398,322,756.50","56,151,325"
,2701271,Costco Wholesale Corp,COST,0.57%,Consumer Staples Merchandise Retail,US,---,"$13,307,574,748.50","14,098,650"
,BN78DQ4,Palantir Technologies Inc,PLTR,0.55%,Application Software,US,---,"$12,920,022,445.94","69,320,863"
,2295677,Bank of America Corp,BAC,0.54%,Diversified Banks,US,---,"$12,571,406,445.96","202,961,034"
,2198163,Cisco Systems Inc,CSCO,0.53%,Communications Equipment,US,---,"$12,455,868,286.08","112,732,992"
,2838555,Chevron Corp,CVX,0.53%,Integrated Oil & Gas,US,---,"$12,394,868,582.14","60,128,401"
,BSML4N7,Lam Research Corp,LRCX,0.51%,Semiconductor Materials & Equipment,US,---,"$11,981,991,650.16","39,742,584"
,2463247,Intel Corp,INTC,0.51%,Semiconductors,US,---,"$11,957,845,161.82","133,592,282"
,2180201,Caterpillar Inc,CAT,0.50%,Construction Machinery & Heavy Transportation Equipment,US,---,"$11,672,317,984.42","14,636,686"
,2778844,Merck & Co Inc,MRK,0.49%,Pharmaceuticals,US,---,"$11,598,700,909.68","78,496,893"
,2046552,Applied Materials Inc,AMAT,0.49%,Semiconductor Materials & Equipment,US,---,"$11,565,874,160.85","25,231,515"
,2917766,UnitedHealth Group Inc,UNH,0.48%,Managed Health Care,US,---,"$11,238,686,853.87","28,860,807"
,BL59CR9,General Electric Co,GE,0.47%,Aerospace & Defense,US,---,"$11,131,299,289.35","33,157,485"
,2857817,Netflix Inc,NFLX,0.46%,Movies & Entertainment,US,---,"$10,846,243,678.85","133,821,637"
,2704407,Procter & Gamble Co/The,PG,0.46%,Household Products,US,---,"$10,739,870,444.00","74,006,825"
,2434209,Home Depot Inc/The,HD,0.44%,Home Improvement Retail,US,---,"$10,388,062,967.01","31,687,347"
,B87ZMX0,Palo Alto Networks Inc,PANW,0.42%,Systems Software,US,---,"$9,909,548,776.26","25,932,402"
,2206657,Coca-Cola Co/The,KO,0.41%,Soft Drinks & Non-alcoholic Beverages,US,---,"$9,699,022,087.85","109,383,355"
,B2PKRQ3,Philip Morris International Inc,PM,0.40%,Tobacco,US,---,"$9,278,104,599.90","49,536,063"
,2407966,Goldman Sachs Group Inc/The,GS,0.38%,Investment Banking & Brokerage,US,---,"$9,026,559,656.60","8,798,674"
,BM5M5Y3,RTX Corp,RTX,0.38%,Aerospace & Defense,US,---,"$8,890,055,872.38","42,796,206"
,2649100,Wells Fargo & Co,WFC,0.36%,Diversified Banks,US,---,"$8,401,609,610.12","97,252,108"
,2661568,Oracle Corp,ORCL,0.35%,Systems Software,US,---,"$8,177,903,788.16","54,841,093"
,2262314,Morgan Stanley,MS,0.34%,Investment Banking & Brokerage,US,---,"$8,019,230,180.12","37,592,491"
,BP6H4Y1,GE Vernova Inc,GEV,0.33%,Heavy Electrical Equipment,US,---,"$7,673,414,751.45","8,539,965"
,2885409,Texas Instruments Inc,TXN,0.32%,Semiconductors,US,---,"$7,546,245,399.81","28,922,791"
,2023607,Amgen Inc,AMGN,0.31%,Biotechnology,US,---,"$7,373,661,139.68","17,152,836"
,BSNPZV3,Sandisk Corp,SNDK,0.31%,"Technology Hardware, Storage & Peripherals",US,---,"$7,373,328,876.00","4,706,280"
,2886907,Thermo Fisher Scientific Inc,TMO,0.31%,Life Sciences Tools & Services,US,---,"$7,288,316,323.20","11,810,592"
,2480138,KLA Corp,KLAC,0.31%,Semiconductor Materials & Equipment,US,---,"$7,283,535,153.40","41,513,452"
,BNZHB81,Linde PLC,LIN,0.31%,Industrial Gases,US,---,"$7,196,722,209.04","14,699,788"
,2297907,Citigroup Inc,C,0.30%,Diversified Banks,US,---,"$7,133,780,571.64","54,199,822"
,BJJP138,Crowdstrike Holdings Inc,CRWD,0.30%,Systems Software,US,---,"$7,101,822,651.00","30,743,821"
,2005973,International Business Machines Corp,IBM,0.30%,IT Consulting & Other Services,US,---,"$6,985,536,465.18","29,869,314"
,BL9XPM3,Arista Networks Inc,ANET,0.28%,Communications Equipment,US,---,"$6,656,652,486.66","34,016,314"
,2310525,Salesforce Inc,CRM,0.27%,Application Software,US,---,"$6,367,365,649.22","24,723,793"
,2145084,Amphenol Corp,APH,0.26%,Electronic Components,US,---,"$6,199,003,913.55","39,098,101"
,2002305,Abbott Laboratories,ABT,0.26%,Health Care Equipment,US,---,"$6,109,027,462.00","55,355,450"
,2681511,PepsiCo Inc,PEP,0.26%,Soft Drinks & Non-alcoholic Beverages,US,---,"$6,095,368,975.80","43,432,870"
,BNKJSM5,Marvell Technology Inc,MRVL,0.26%,Semiconductors,US,---,"$6,035,779,319.06","28,516,391"
,2090571,Verizon Communications Inc,VZ,0.25%,Integrated Telecommunication Services,US,---,"$5,973,934,168.22","119,430,911"
,2550707,McDonald's Corp,MCD,0.25%,Restaurants,US,---,"$5,950,355,810.72","22,578,568"
,2270726,Walt Disney Co/The,DIS,0.25%,Movies & Entertainment,US,---,"$5,935,443,157.80","55,187,756"
,BKVD2N4,Seagate Technology Holdings PLC,STX,0.25%,"Technology Hardware, Storage & Peripherals",US,---,"$5,902,790,679.52","7,125,704"
,2369174,Gilead Sciences Inc,GILD,0.25%,Biotechnology,US,---,"$5,774,886,494.46","39,462,119"
,2779397,Charles Schwab Corp/The,SCHW,0.25%,Investment Banking & Brokerage,US,---,"$5,766,155,876.94","52,505,517"
,2026082,American Express Co,AXP,0.24%,Consumer Finance,US,---,"$5,728,031,504.78","17,348,734"
,2831811,AT&T Inc,T,0.24%,Integrated Telecommunication Services,US,---,"$5,717,035,806.48","220,820,232"
,2714923,QUALCOMM Inc,QCOM,0.24%,Semiconductors,US,---,"$5,710,493,037.36","33,496,557"
,2914734,Union Pacific Corp,UNP,0.24%,Rail Transportation,US,---,"$5,672,983,530.69","18,867,807"
,2032067,Analog Devices Inc,ADI,0.24%,Semiconductors,US,---,"$5,605,796,829.60","15,479,640"
,2328915,NextEra Energy Inc,NEE,0.23%,Electric Utilities,US,---,"$5,456,612,185.84","66,269,276"
,2261203,Deere & Co,DE,0.23%,Agricultural & Farm Machinery,US,---,"$5,337,412,369.31","8,149,841"
,BYVYHH4,Welltower Inc,WELL,0.23%,Health Care REITs,US,---,"$5,299,889,426.56","22,434,344"
,2108601,Boeing Co/The,BA,0.22%,Aerospace & Defense,US,---,"$5,205,358,582.80","25,052,260"
,2684703,Pfizer Inc,PFE,0.22%,Pharmaceuticals,US,---,"$5,155,475,182.14","181,148,109"
,2685717,ConocoPhillips,COP,0.22%,Oil & Gas Exploration & Production,US,---,"$5,132,218,361.03","38,736,647"
,BMZBBT7,Blackrock Inc,BLK,0.22%,Asset Management & Custody Banks,US,---,"$5,131,305,929.84","4,440,344"
,B8KQN82,Eaton Corp PLC,ETN,0.21%,Electrical Components & Equipment,US,---,"$4,959,634,837.92","12,341,084"
,2954699,Western Digital Corp,WDC,0.21%,"Technology Hardware, Storage & Peripherals",US,---,"$4,935,144,029.45","10,953,599"
,BDRXDB4,Booking Holdings Inc,BKNG,0.21%,"Hotels, Resorts & Cruise Lines",US,---,"$4,902,713,093.08","24,625,612"
,BK6N347,Uber Technologies Inc,UBER,0.21%,Passenger Ground Transportation,US,---,"$4,894,028,324.70","64,693,038"
,B80NXX8,ServiceNow Inc,NOW,0.21%,Systems Software,US,---,"$4,848,836,261.79","32,764,621"
,2989301,TJX Cos Inc/The,TJX,0.20%,Apparel Retail,US,---,"$4,705,370,288.64","35,138,304"
,2931034,Vertex Pharmaceuticals Inc,VRTX,0.19%,Biotechnology,US,---,"$4,392,735,408.40","8,067,170"
,2126335,Bristol-Myers Squibb Co,BMY,0.18%,Pharmaceuticals,US,---,"$4,336,193,882.46","64,903,366"
,2250870,Danaher Corp,DHR,0.18%,Life Sciences Tools & Services,US,---,"$4,323,546,972.96","20,245,116"
,2636607,Newmont Corp,NEM,0.18%,Gold,US,---,"$4,276,849,847.82","33,927,097"
,2654461,Capital One Financial Corp,COF,0.18%,Consumer Finance,US,---,"$4,241,994,454.76","19,775,276"
,2871301,Intuitive Surgical Inc,ISRG,0.18%,Health Care Equipment,US,---,"$4,241,704,014.24","11,255,384"
,BHKD3S6,Dell Technologies Inc,DELL,0.18%,"Technology Hardware, Storage & Peripherals",US,---,"$4,239,198,922.85","9,296,285"
,B44WZD7,Prologis Inc,PLD,0.18%,Industrial REITs,US,---,"$4,215,689,837.04","30,129,287"
,2522096,Lockheed Martin Corp,LMT,0.18%,Aerospace & Defense,US,---,"$4,111,941,953.03","7,326,661"
,2705024,Progressive Corp/The,PGR,0.17%,Property & Casualty Insurance,US,---,"$4,043,944,235.84","18,543,398"
,BYV2325,S&P Global Inc,SPGI,0.17%,Financial Exchanges & Data,US,---,"$3,989,702,459.52","9,154,053"
,2671501,Parker-Hannifin Corp,PH,0.17%,Industrial Machinery & Supplies & Components,US,---,"$3,924,464,266.80","4,006,845"
,2842255,Starbucks Corp,SBUX,0.16%,Restaurants,US,---,"$3,848,167,706.25","36,218,049"
,2577609,CVS Health Corp,CVS,0.16%,Health Care Services,US,---,"$3,807,755,434.78","40,546,858"
,2008154,Adobe Inc,ADBE,0.16%,Application Software,US,---,"$3,760,546,449.65","12,843,835"
,B3BQMF6,Chubb Ltd,CB,0.16%,Property & Casualty Insurance,US,---,"$3,755,049,620.80","11,089,928"
,B4BNMY3,Accenture PLC,ACN,0.16%,IT Consulting & Other Services,US,---,"$3,702,348,344.64","19,510,689"
,BTN1Y11,Medtronic PLC,MDT,0.16%,Health Care Equipment,US,---,"$3,698,376,410.40","40,798,416"
,2224701,Corning Inc,GLW,0.16%,Electronic Components,US,---,"$3,654,262,040.83","24,569,771"
,2536763,Lowe's Cos Inc,LOW,0.16%,Home Improvement Retail,US,---,"$3,647,485,638.30","17,818,689"
,2065308,Automatic Data Processing Inc,ADP,0.15%,Human Resource & Employment Services,US,---,"$3,634,690,142.16","12,701,601"
,2692632,Altria Group Inc,MO,0.15%,Tobacco,US,---,"$3,634,390,967.04","53,072,298"
,2853688,Stryker Corp,SYK,0.15%,Health Care Equipment,US,---,"$3,550,570,616.00","10,965,320"
,B1Z77F6,Bank of New York Mellon Corp/The,BNY,0.15%,Asset Management & Custody Banks,US,---,"$3,517,248,752.64","21,808,338"
,BN134B7,Snowflake Inc,SNOW,0.15%,Internet Services & Infrastructure,US,---,"$3,468,183,611.86","10,464,302"
,B3K3L40,Marathon Petroleum Corp,MPC,0.15%,Oil & Gas Refining & Marketing,US,---,"$3,463,245,588.24","9,276,882"
,2352118,Freeport-McMoRan Inc,FCX,0.15%,Copper,US,---,"$3,460,258,776.10","45,686,015"
,2041364,Valero Energy Corp,VLO,0.14%,Oil & Gas Refining & Marketing,US,---,"$3,386,520,029.52","9,435,306"
,B5B2106,Fortinet Inc,FTNT,0.14%,Systems Software,US,---,"$3,382,378,907.42","19,788,094"
,BKF2SL7,Blackstone Inc,BX,0.14%,Asset Management & Custody Banks,US,---,"$3,382,222,987.20","23,612,280"
,2378534,McKesson Corp,MCK,0.14%,Health Care Distributors,US,---,"$3,381,483,281.28","3,819,504"
,2965839,CME Group Inc,CME,0.14%,Financial Exchanges & Data,US,---,"$3,287,718,931.50","11,515,653"
,BVLZX12,Equinix Inc,EQIX,0.14%,Data Center REITs,US,---,"$3,280,514,684.80","3,134,090"
,BL3LWS8,Vertiv Holdings Co,VRT,0.13%,Electrical Components & Equipment,US,---,"$3,158,054,037.60","12,206,455"
,2829601,Southern Co/The,SO,0.13%,Electric Utilities,US,---,"$3,156,089,640.00","35,864,655"
,B78C4Y8,Phillips 66,PSX,0.13%,Oil & Gas Refining & Marketing,US,---,"$3,141,658,519.40","12,740,930"
