Fondsposition per,"17.Sept.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","IT","Aktien","6.237.344.154,32","13,49","6.237.344.154,32","82.005.000,00","76,06","Taiwan","Taiwan Stock Exchange","TWD"
"005930","SAMSUNG ELECTRONICS LTD","IT","Aktien","2.841.884.987,15","6,15","2.841.884.987,15","15.550.457,00","182,75","Korea","Korea Exchange (Stock Market)","KRW"
"000660","SK HYNIX","IT","Aktien","2.320.154.728,04","5,02","2.320.154.728,04","1.837.044,00","1.262,98","Korea","Korea Exchange (Stock Market)","KRW"
"700","TENCENT HOLDINGS","Kommunikation","Aktien","1.110.306.735,58","2,40","1.110.306.735,58","20.448.540,00","54,30","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9988","ALIBABA GROUP HOLDING","Zyklische Konsumgüter ","Aktien","746.734.224,03","1,61","746.734.224,03","55.743.248,00","13,40","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2454","MEDIATEK","IT","Aktien","680.875.088,21","1,47","680.875.088,21","4.824.000,00","141,14","Taiwan","Taiwan Stock Exchange","TWD"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","IT","Aktien","372.564.431,95","0,81","372.564.431,95","2.662.978,00","139,91","Korea","Korea Exchange (Stock Market)","KRW"
"939","CHINA CONSTRUCTION BANK CORP H","Finanzwesen","Aktien","344.454.490,71","0,74","344.454.490,71","279.325.000,00","1,23","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2308","DELTA ELECTRONICS","IT","Aktien","343.900.823,49","0,74","343.900.823,49","6.507.073,00","52,85","Taiwan","Taiwan Stock Exchange","TWD"
"2317","HON HAI PRECISION INDUSTRY","IT","Aktien","319.689.494,61","0,69","319.689.494,61","40.688.624,00","7,86","Taiwan","Taiwan Stock Exchange","TWD"
"HDFCBANK","HDFC BANK","Finanzwesen","Aktien","277.179.730,08","0,60","277.179.730,08","37.295.835,00","7,43","Indien","National Stock Exchange Of India","INR"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energie","Aktien","243.069.346,67","0,53","243.069.346,67","18.747.058,00","12,97","Indien","National Stock Exchange Of India","INR"
"ICICIBANK","ICICI BANK","Finanzwesen","Aktien","242.775.188,01","0,53","242.775.188,01","17.283.500,00","14,05","Indien","National Stock Exchange Of India","INR"
"402340","SK SQUARE","Industrie","Aktien","223.826.120,94","0,48","223.826.120,94","306.795,00","729,56","Korea","Korea Exchange (Stock Market)","KRW"
"4BRZ","ISHARES MSCI BRAZIL UCITS ET USDHA","Finanzwesen","Aktien","223.773.158,84","0,48","223.773.158,84","4.189.724,00","53,41","Deutschland","Xetra","USD"
"3711","ASE TECHNOLOGY HOLDING","IT","Aktien","217.054.204,53","0,47","217.054.204,53","11.270.734,00","19,26","Taiwan","Taiwan Stock Exchange","TWD"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Finanzwesen","Aktien","208.646.029,57","0,45","208.646.029,57","217.681.346,00","0,96","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1810","XIAOMI","IT","Aktien","189.933.596,83","0,41","189.933.596,83","57.006.600,00","3,33","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"009150","SAMSUNG ELECTRO MECHANICS LTD","IT","Aktien","178.996.735,79","0,39","178.996.735,79","185.948,00","962,62","Korea","Korea Exchange (Stock Market)","KRW"
"BHARTIARTL","BHARTI AIRTEL LTD","Kommunikation","Aktien","176.165.709,47","0,38","176.165.709,47","9.205.282,00","19,14","Indien","National Stock Exchange Of India","INR"
"2303","UNITED MICRO ELECTRONICS CORP","IT","Aktien","174.344.467,97","0,38","174.344.467,97","37.685.000,00","4,63","Taiwan","Taiwan Stock Exchange","TWD"
"3988","BANK OF CHINA LTD H","Finanzwesen","Aktien","172.832.112,06","0,37","172.832.112,06","226.374.000,00","0,76","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ANG","ANGLOGOLD ASHANTI PLC","Materialien","Aktien","171.001.287,91","0,37","171.001.287,91","1.674.601,00","102,11","Südafrika","Johannesburg Stock Exchange","ZAR"
"3690","MEITUAN","Zyklische Konsumgüter ","Aktien","156.371.194,56","0,34","156.371.194,56","16.828.994,00","9,29","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1120","AL RAJHI BANK","Finanzwesen","Aktien","152.870.354,32","0,33","152.870.354,32","8.700.871,00","17,57","Saudi-Arabien","Saudi Stock Exchange","SAR"
"VALE3","CIA VALE DO RIO DOCE SH","Materialien","Aktien","150.782.533,79","0,33","150.782.533,79","10.436.090,00","14,45","Brasilien","XBSP","BRL"
"NU","NU HOLDINGS CLASS A","Finanzwesen","Aktien","147.687.608,80","0,32","147.687.608,80","10.671.070,00","13,84","Brasilien","New York Stock Exchange Inc.","USD"
"105560","KB FINANCIAL GROUP","Finanzwesen","Aktien","144.269.586,07","0,31","144.269.586,07","1.112.333,00","129,70","Korea","Korea Exchange (Stock Market)","KRW"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Finanzwesen","Aktien","140.906.554,63","0,30","140.906.554,63","20.917.758,00","6,74","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2383","ELITE MATERIAL","IT","Aktien","139.599.767,11","0,30","139.599.767,11","947.985,00","147,26","Taiwan","Taiwan Stock Exchange","TWD"
"9999","NETEASE","Kommunikation","Aktien","138.916.008,81","0,30","138.916.008,81","5.888.095,00","23,59","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PDD","PDD HOLDINGS ADS","Zyklische Konsumgüter ","Aktien","134.799.288,27","0,29","134.799.288,27","1.734.199,00","77,73","China","NASDAQ","USD"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Finanzwesen","Aktien","133.321.525,82","0,29","133.321.525,82","16.147.153,00","8,26","Brasilien","XBSP","BRL"
"2881","FUBON FINANCIAL HOLDING","Finanzwesen","Aktien","133.251.108,07","0,29","133.251.108,07","28.042.102,00","4,75","Taiwan","Taiwan Stock Exchange","TWD"
