Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"RY","ROYAL BANK OF CANADA","Financials","Equity","2,650,170,116.11","7.78","2,650,170,116.11","9,301,127.00","284.93","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TD","TORONTO DOMINION","Financials","Equity","1,894,691,925.54","5.56","1,894,691,925.54","11,121,042.00","170.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SHOP","SHOPIFY SUBORDINATE VOTING CLASS A","Information Technology","Equity","1,461,448,447.07","4.29","1,461,448,447.07","8,118,707.00","180.01","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BMO","BANK OF MONTREAL","Financials","Equity","1,134,201,363.60","3.33","1,134,201,363.60","4,662,890.00","243.24","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","1,077,135,870.38","3.16","1,077,135,870.38","8,181,193.00","131.66","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ENB","ENBRIDGE","Energy","Equity","991,008,776.94","2.91","991,008,776.94","14,535,183.00","68.18","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energy","Equity","983,468,954.43","2.89","983,468,954.43","13,884,921.00","70.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","974,414,576.35","2.86","974,414,576.35","6,126,467.00","159.05","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AEM","AGNICO EAGLE MINES","Materials","Equity","955,250,707.95","2.80","955,250,707.95","3,385,613.00","282.15","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SU","SUNCOR ENERGY INC","Energy","Equity","764,824,001.15","2.24","764,824,001.15","7,859,665.00","97.31","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BN","BROOKFIELD CLASS A","Financials","Equity","740,796,789.02","2.17","740,796,789.02","14,221,478.00","52.09","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CP","CANADIAN PACIFIC KANSAS CITY","Industrials","Equity","733,868,515.60","2.15","733,868,515.60","5,909,240.00","124.19","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MFC","MANULIFE FINANCIAL","Financials","Equity","685,759,866.33","2.01","685,759,866.33","11,109,021.00","61.73","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ABX","BARRICK MINING","Materials","Equity","682,121,638.88","2.00","682,121,638.88","11,153,068.00","61.16","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WPM","WHEATON PRECIOUS METALS","Materials","Equity","643,927,911.30","1.89","643,927,911.30","3,022,710.00","213.03","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CNR","CANADIAN NATIONAL RAILWAY","Industrials","Equity","603,912,141.38","1.77","603,912,141.38","3,600,287.00","167.74","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TRP","TC ENERGY","Energy","Equity","597,342,481.56","1.75","597,342,481.56","6,934,554.00","86.14","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
